"Transaction Date","Payment Ref","Payer Name","Open ID","Product Name","Insurance Company","Policy Number","Coverage Period",Currency,"Charge Amount","Promotion Type",Status
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267437,ProductName,"Insurance Company",GC52836365821,"01/01/2025 to 31/12/2025",SGD,0.30,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5268627,ProductName,"Insurance Company",GC52818159764,"01/01/2025 to 31/12/2025",SGD,0.50,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5268627,ProductName,"Insurance Company",GC52352811543,"01/01/2025 to 31/12/2025",SGD,0.30,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5268627,ProductName,"Insurance Company",GC52775732254,"01/01/2025 to 31/12/2025",SGD,0.30,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5268627,ProductName,"Insurance Company",GC52278155652,"01/01/2025 to 31/12/2025",SGD,0.50,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5268627,ProductName,"Insurance Company",GC52867365992,"01/01/2025 to 31/12/2025",SGD,0.10,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267592,ProductName,"Insurance Company",GC52351496655,"01/01/2025 to 31/12/2025",SGD,0.50,"Free Policy",PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267592,ProductName,"Insurance Company",GC52332233416,"01/01/2025 to 31/12/2025",SGD,0.30,"Free Policy",PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267592,ProductName,"Insurance Company",GC52343212796,"01/01/2025 to 31/12/2025",SGD,0.30,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267592,ProductName,"Insurance Company",GC52976157361,"01/01/2025 to 31/12/2025",SGD,0.50,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267592,ProductName,"Insurance Company",GC52621518117,"01/01/2025 to 31/12/2025",SGD,0.10,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267437,ProductName,"Insurance Company",GC52283197395,"01/01/2025 to 31/12/2025",SGD,0.50,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5238933,ProductName,"Insurance Company",GC52957451858,"01/01/2025 to 31/12/2025",SGD,0.10,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267437,ProductName,"Insurance Company",GC52113677929,"01/01/2025 to 31/12/2025",SGD,0.30,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267437,ProductName,"Insurance Company",GC52643964172,"01/01/2025 to 31/12/2025",SGD,0.50,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5267437,ProductName,"Insurance Company",GC52659177616,"01/01/2025 to 31/12/2025",SGD,0.10,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5257749,ProductName,"Insurance Company",GC52249137559,"01/01/2025 to 31/12/2025",SGD,0.30,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5257749,ProductName,"Insurance Company",GC52718294783,"01/01/2025 to 31/12/2025",SGD,0.50,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5257749,ProductName,"Insurance Company",GC52918838398,"01/01/2025 to 31/12/2025",SGD,0.10,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5256973,ProductName,"Insurance Company",GC52764177632,"01/01/2025 to 31/12/2025",SGD,0.10,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5238933,ProductName,"Insurance Company",GC52522692312,"01/01/2025 to 31/12/2025",SGD,0.50,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5238933,ProductName,"Insurance Company",GC52896728432,"01/01/2025 to 31/12/2025",SGD,0.30,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5238933,ProductName,"Insurance Company",GC52993963743,"01/01/2025 to 31/12/2025",SGD,0.30,none,PAID
"2025-01-01 00:00:00",40200000000000,"TEST Arjun",5238933,ProductName,"Insurance Company",GC52271792926,"01/01/2025 to 31/12/2025",SGD,0.50,none,PAID
